City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,madimba,-10.4,40.3333,30.62,45,20,7.2,TZ,1689079938
109,rio gallegos,-51.6226,-69.2181,-1.97,93,75,1.03,AR,1689079938
110,la ronge,55.1001,-105.2842,11.14,82,20,1.03,CA,1689079939
111,qaqortoq,60.7167,-46.0333,8.71,90,100,2.9,GL,1689079939
112,talnakh,69.4865,88.3972,9.56,55,100,4.03,RU,1689079939
113,phan thiet,10.9333,108.1,27.07,85,94,2.09,VN,1689079825
114,jalai nur,49.45,117.7,19.87,48,17,2.91,CN,1689079940
115,tadine,-21.55,167.8833,20.48,72,100,6.31,NC,1689079941
116,mana,5.6592,-53.7767,27.94,75,60,3.79,GF,1689079941
117,tiksi,71.6872,128.8694,6.94,82,100,2.17,RU,1689079942
118,college,64.8569,-147.8028,17.99,61,75,0.0,US,1689079943
119,port mathurin,-19.6833,63.4167,23.87,72,41,7.68,MU,1689079943
120,atherton,53.5237,-2.4935,19.56,86,97,1.79,GB,1689079933
121,taro,-8.3862,115.28,22.0,92,94,1.84,ID,1689079944
122,hastings,50.8552,0.5729,23.83,27,100,8.11,GB,1689079878
123,obock,12.25,43.0833,36.25,27,6,11.31,DJ,1689079746
124,minot air force base,48.4209,-101.3391,10.1,95,75,2.06,US,1689079945
125,hazorasp,41.3194,61.0742,40.91,7,0,4.56,UZ,1689079946
126,hamilton,39.1834,-84.5333,24.48,79,7,0.45,US,1689079946
127,gorom-gorom,14.4439,-0.2361,36.93,30,44,2.81,BF,1689079947
128,canton,23.1167,113.25,32.97,53,5,5.46,CN,1689079803
129,hauterive,46.0901,3.4459,35.42,31,4,1.3,FR,1689079948
130,prado,-17.3411,-39.2208,25.63,67,0,2.74,BR,1689079948
131,ascension,30.2169,-90.9001,28.93,92,40,0.0,US,1689079949
132,utrik,11.2278,169.8474,28.2,78,27,7.01,MH,1689079950
133,barranca,-10.75,-77.7667,20.06,82,24,3.3,PE,1689079950
134,tanout,14.9709,8.8879,37.72,17,6,1.65,NE,1689079951
135,berezovyy,51.6667,135.7,17.45,61,95,1.9,RU,1689079952
136,lata,40.1629,-8.3327,27.49,49,95,5.12,PT,1689079952
137,afaahiti,-17.75,-149.2833,22.93,80,63,10.04,PF,1689079953
138,namibe,-15.1961,12.1522,28.28,31,0,3.16,AO,1689079953
139,klyuchi,52.2667,79.1667,33.57,28,8,3.42,RU,1689079955
140,castillos,-34.1667,-53.8333,10.56,65,30,4.1,UY,1689079956
141,anadyr,64.75,177.4833,12.28,58,0,4.92,RU,1689079953
142,jamestown,42.097,-79.2353,23.9,71,0,3.09,US,1689079957
143,susuman,62.7833,148.1667,9.98,49,99,2.99,RU,1689079957
144,constantia,44.1833,28.65,28.38,53,85,7.97,RO,1689079842
145,victoria falls,-17.9235,25.843,18.06,27,0,7.72,ZW,1689079958
146,salinas,36.6777,-121.6555,14.84,94,100,0.0,US,1689079959
147,st. john's,47.5649,-52.7093,16.42,97,100,2.57,CA,1689079959
